,Collection,BrandLine,StyleCode,GridValue,Style,Region,Size,Color,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName,Brand_Tier,Lookalike_ID,Date,Glasses,Sunglasses,Glasses_3m_avg,Sunglasses_3m_avg,Glasses_pct_change,Sunglasses_pct_change,Trend_acetate_frame_glasses,Trend_Calvin_Klein_frames,Trend_FSA_glasses,Trend_metal_frame_glasses,Trend_Lacoste_frames,Trend_Nike_frames,Shape,FrameType,Material,is_summer,is_holiday_season,is_insurance_reset,4m_demand
5403,LA,LACOSTE OPTICAL,L2692,5417414,L2692/54/BLUE/YELLOW,AMER,54,BLUE/YELLOW,7.0,blue,shiny,1.0,Optical,Lacoste,Premium,Lacoste_blue_21515,2024-06-01,47,32,66.0,29.0,-2.13%,-9.38%,20,85,21,42,37,60,Rectangle,Full,Plastic,1,0,0,102.0
5404,LA,LACOSTE OPTICAL,L2217,5417414,L2217/54/MATTE BLUE,AMER,54,MATTE BLUE,27.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_30375,2024-06-01,47,32,66.0,29.0,-2.13%,-9.38%,20,85,21,42,37,60,Rectangle,Full,Metal,1,0,0,87.0
5405,LA,LACOSTE OPTICAL,L2291,5417414,L2291/54/NAVY BLUE,AMER,54,NAVY BLUE,33.0,blue,shiny,0.0,Optical,Lacoste,Premium,Lacoste_blue_L2291,2024-06-01,47,32,66.0,29.0,-2.13%,-9.38%,20,85,21,42,37,60,Rectangle,Full,Metal,1,0,0,70.0
5406,LA,LACOSTE OPTICAL,L2692,5417414,L2692/54/BLUE/YELLOW,AMER,54,BLUE/YELLOW,13.0,blue,shiny,1.0,Optical,Lacoste,Premium,Lacoste_blue_21515,2024-07-01,46,29,64.0,31.0,2.17%,-13.79%,0,80,18,39,70,62,Rectangle,Full,Plastic,1,0,0,76.0
5407,LA,LACOSTE OPTICAL,L2217,5417414,L2217/54/MATTE BLUE,AMER,54,MATTE BLUE,29.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_30375,2024-07-01,46,29,64.0,31.0,2.17%,-13.79%,0,80,18,39,70,62,Rectangle,Full,Metal,1,0,0,65.0
5412,LA,LACOSTE OPTICAL,L2692,5417421,L2692/54/TRANSPARENT,AMER,54,TRANSPARENT,23.0,crystal,shiny,0.0,Optical,Lacoste,Premium,Lacoste_crystal_21515,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,100.0
5413,LA,LACOSTE OPTICAL,L2692,5417421,L2692/54/TRANSPARENT,AMER,54,TRANSPARENT,21.0,crystal,shiny,0.0,Optical,Lacoste,Premium,Lacoste_crystal_21515,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,110.0
5414,LA,LACOSTE OPTICAL,L2692,5417421,L2692/54/TRANSPARENT,AMER,54,TRANSPARENT,26.0,crystal,shiny,0.0,Optical,Lacoste,Premium,Lacoste_crystal_21515,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,100.0
5415,LA,LACOSTE OPTICAL,L2692,5417421,L2692/54/TRANSPARENT,AMER,54,TRANSPARENT,35.0,crystal,shiny,0.0,Optical,Lacoste,Premium,Lacoste_crystal_21515,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,92.0
5416,LA,LACOSTE OPTICAL,L2692,5417421,L2692/54/TRANSPARENT,AMER,54,TRANSPARENT,18.0,crystal,shiny,0.0,Optical,Lacoste,Premium,Lacoste_crystal_21515,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,102.0
5417,LA,LACOSTE OPTICAL,L2692,5417421,L2692/54/TRANSPARENT,AMER,54,TRANSPARENT,31.0,crystal,shiny,0.0,Optical,Lacoste,Premium,Lacoste_crystal_21515,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,95.0
5418,LA,LACOSTE OPTICAL,L2692,5417421,L2692/54/TRANSPARENT,AMER,54,TRANSPARENT,16.0,crystal,shiny,0.0,Optical,Lacoste,Premium,Lacoste_crystal_21515,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,100.0
5419,LA,LACOSTE OPTICAL,L2692,5417421,L2692/54/TRANSPARENT,AMER,54,TRANSPARENT,27.0,crystal,shiny,0.0,Optical,Lacoste,Premium,Lacoste_crystal_21515,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,98.0
5424,KO,NIKE OPTICAL,NIKE 7059LB,5417423,NIKE 7059LB/54/MATTE,AMER,54,MATTE,0.0,Unknown,matte,0.0,Optical,Nike,Sport,Nike_Unknown_NK7059LB,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
5425,KO,NIKE OPTICAL,NIKE 7059LB,5417423,NIKE 7059LB/54/MATTE,AMER,54,MATTE,0.0,Unknown,matte,0.0,Optical,Nike,Sport,Nike_Unknown_NK7059LB,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,0.0
5426,KO,NIKE OPTICAL,NIKE 7059LB,5417423,NIKE 7059LB/54/MATTE,AMER,54,MATTE,0.0,Unknown,matte,0.0,Optical,Nike,Sport,Nike_Unknown_NK7059LB,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,0.0
5427,KO,NIKE OPTICAL,NIKE 7059LB,5417423,NIKE 7059LB/54/MATTE,AMER,54,MATTE,0.0,Unknown,matte,0.0,Optical,Nike,Sport,Nike_Unknown_NK7059LB,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,0.0
5428,KO,NIKE OPTICAL,NIKE 7059LB,5417423,NIKE 7059LB/54/MATTE,AMER,54,MATTE,0.0,Unknown,matte,0.0,Optical,Nike,Sport,Nike_Unknown_NK7059LB,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,0.0
5429,KO,NIKE OPTICAL,NIKE 7059LB,5417423,NIKE 7059LB/54/MATTE,AMER,54,MATTE,0.0,Unknown,matte,0.0,Optical,Nike,Sport,Nike_Unknown_NK7059LB,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,3.0
5430,KO,NIKE OPTICAL,NIKE 7059LB,5417423,NIKE 7059LB/54/MATTE,AMER,54,MATTE,0.0,Unknown,matte,0.0,Optical,Nike,Sport,Nike_Unknown_NK7059LB,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,34.0
5431,KO,NIKE OPTICAL,NIKE 7059LB,5417423,NIKE 7059LB/54/MATTE,AMER,54,MATTE,0.0,Unknown,matte,0.0,Optical,Nike,Sport,Nike_Unknown_NK7059LB,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,48.0
5436,LA,LACOSTE OPTICAL,L2298,5417424,L2298/54/MATTE BLUE,AMER,54,MATTE BLUE,0.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_L2298,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Metal,0,0,0,38.0
5437,LA,LACOSTE OPTICAL,L2298,5417424,L2298/54/MATTE BLUE,AMER,54,MATTE BLUE,2.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_L2298,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Metal,0,0,0,87.0
5438,LA,LACOSTE OPTICAL,L2298,5417424,L2298/54/MATTE BLUE,AMER,54,MATTE BLUE,0.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_L2298,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Metal,0,1,0,124.0
5439,LA,LACOSTE OPTICAL,L2298,5417424,L2298/54/MATTE BLUE,AMER,54,MATTE BLUE,9.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_L2298,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Metal,0,1,0,140.0
5440,LA,LACOSTE OPTICAL,L2298,5417424,L2298/54/MATTE BLUE,AMER,54,MATTE BLUE,27.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_L2298,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Metal,0,0,1,138.0
5441,LA,LACOSTE OPTICAL,L2298,5417424,L2298/54/MATTE BLUE,AMER,54,MATTE BLUE,51.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_L2298,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Metal,0,0,0,108.0
5442,LA,LACOSTE OPTICAL,L2298,5417424,L2298/54/MATTE BLUE,AMER,54,MATTE BLUE,37.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_L2298,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Metal,0,0,0,97.0
5443,LA,LACOSTE OPTICAL,L2298,5417424,L2298/54/MATTE BLUE,AMER,54,MATTE BLUE,25.0,blue,matte,0.0,Optical,Lacoste,Premium,Lacoste_blue_L2298,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Metal,0,0,0,88.0
5448,KS,NIKE SUN,NIKE FIRE P FD1818,5417434,NIKE FIRE P FD1818/5,AMER,Unknown,,14.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFD1818,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,86.0
5449,KS,NIKE SUN,NIKE FIRE P FD1818,5417434,NIKE FIRE P FD1818/5,AMER,Unknown,,26.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFD1818,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,102.0
5450,KS,NIKE SUN,NIKE FIRE P FD1818,5417434,NIKE FIRE P FD1818/5,AMER,Unknown,,22.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFD1818,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,112.0
5451,KS,NIKE SUN,NIKE FIRE P FD1818,5417434,NIKE FIRE P FD1818/5,AMER,Unknown,,21.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFD1818,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,106.0
5452,KS,NIKE SUN,NIKE FIRE P FD1818,5417434,NIKE FIRE P FD1818/5,AMER,Unknown,,17.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFD1818,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,111.0
5453,KS,NIKE SUN,NIKE FIRE P FD1818,5417434,NIKE FIRE P FD1818/5,AMER,Unknown,,42.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFD1818,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,91.0
5454,KS,NIKE SUN,NIKE FIRE P FD1818,5417434,NIKE FIRE P FD1818/5,AMER,Unknown,,32.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFD1818,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,74.0
5455,KS,NIKE SUN,NIKE FIRE P FD1818,5417434,NIKE FIRE P FD1818/5,AMER,Unknown,,15.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFD1818,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,89.0
5460,KP,CALVIN KLEIN OPTICAL,CK24513,5417605,CK24513/54/BURGUNDY,AMER,54,BURGUNDY,0.0,red,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_red_CK24513,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Oval,Full,Plastic,0,0,0,42.0
5461,KP,CALVIN KLEIN OPTICAL,CK24513,5417605,CK24513/54/BURGUNDY,AMER,54,BURGUNDY,0.0,red,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_red_CK24513,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Oval,Full,Plastic,0,0,0,68.0
5462,KP,CALVIN KLEIN OPTICAL,CK24513,5417605,CK24513/54/BURGUNDY,AMER,54,BURGUNDY,0.0,red,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_red_CK24513,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Oval,Full,Plastic,0,1,0,89.0
5463,KP,CALVIN KLEIN OPTICAL,CK24513,5417605,CK24513/54/BURGUNDY,AMER,54,BURGUNDY,5.0,red,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_red_CK24513,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Oval,Full,Plastic,0,1,0,101.0
5464,KP,CALVIN KLEIN OPTICAL,CK24513,5417605,CK24513/54/BURGUNDY,AMER,54,BURGUNDY,37.0,red,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_red_CK24513,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Oval,Full,Plastic,0,0,1,86.0
5465,KP,CALVIN KLEIN OPTICAL,CK24513,5417605,CK24513/54/BURGUNDY,AMER,54,BURGUNDY,26.0,red,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_red_CK24513,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Oval,Full,Plastic,0,0,0,88.0
5466,KP,CALVIN KLEIN OPTICAL,CK24513,5417605,CK24513/54/BURGUNDY,AMER,54,BURGUNDY,21.0,red,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_red_CK24513,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Oval,Full,Plastic,0,0,0,77.0
5467,KP,CALVIN KLEIN OPTICAL,CK24513,5417605,CK24513/54/BURGUNDY,AMER,54,BURGUNDY,17.0,red,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_red_CK24513,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Oval,Full,Plastic,0,0,0,71.0
5472,KO,NIKE OPTICAL,NIKE 7246,5417900,NIKE 7246/54/CLEAR,AMER,54,CLEAR,546.0,crystal,shiny,0.0,Optical,Nike,Sport,Nike_crystal_40429,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Square,Full,Plastic,0,0,0,2340.0
5473,KO,NIKE OPTICAL,NIKE 7246,5417900,NIKE 7246/54/CLEAR,AMER,54,CLEAR,638.0,crystal,shiny,0.0,Optical,Nike,Sport,Nike_crystal_40429,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Square,Full,Plastic,0,0,0,2423.0
5474,KO,NIKE OPTICAL,NIKE 7246,5417900,NIKE 7246/54/CLEAR,AMER,54,CLEAR,550.0,crystal,shiny,0.0,Optical,Nike,Sport,Nike_crystal_40429,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Square,Full,Plastic,0,1,0,2645.0
5475,KO,NIKE OPTICAL,NIKE 7246,5417900,NIKE 7246/54/CLEAR,AMER,54,CLEAR,563.0,crystal,shiny,0.0,Optical,Nike,Sport,Nike_crystal_40429,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Square,Full,Plastic,0,1,0,2635.0
5476,KO,NIKE OPTICAL,NIKE 7246,5417900,NIKE 7246/54/CLEAR,AMER,54,CLEAR,589.0,crystal,shiny,0.0,Optical,Nike,Sport,Nike_crystal_40429,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Square,Full,Plastic,0,0,1,2409.0
5477,KO,NIKE OPTICAL,NIKE 7246,5417900,NIKE 7246/54/CLEAR,AMER,54,CLEAR,721.0,crystal,shiny,0.0,Optical,Nike,Sport,Nike_crystal_40429,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Square,Full,Plastic,0,0,0,2296.0
5478,KO,NIKE OPTICAL,NIKE 7246,5417900,NIKE 7246/54/CLEAR,AMER,54,CLEAR,772.0,crystal,shiny,0.0,Optical,Nike,Sport,Nike_crystal_40429,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Square,Full,Plastic,0,0,0,2189.0
5479,KO,NIKE OPTICAL,NIKE 7246,5417900,NIKE 7246/54/CLEAR,AMER,54,CLEAR,553.0,crystal,shiny,0.0,Optical,Nike,Sport,Nike_crystal_40429,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Square,Full,Plastic,0,0,0,2311.0
5484,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,21.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Metal,0,0,0,55.0
5485,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,0.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,55.0
5486,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,28.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Metal,0,0,0,53.0
5487,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,0.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,59.0
5488,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,27.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Metal,0,1,0,54.0
5489,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,0.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,77.0
5490,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,26.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Metal,0,1,0,86.0
5491,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,6.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,98.0
5492,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,22.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Metal,0,0,1,110.0
5493,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,23.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,101.0
5494,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,35.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Metal,0,0,0,94.0
5495,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,18.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,86.0
5496,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,34.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Metal,0,0,0,78.0
5497,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,14.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,86.0
5498,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,28.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Metal,0,0,0,74.0
5499,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,10.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,81.0
5500,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,26.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2024-05-01,45,30,67.0,25.0,4.44%,6.67%,18,70,18,41,48,57,Rectangle,Full,Metal,0,0,0,84.0
5501,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,22.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-05-01,45,30,67.0,25.0,4.44%,6.67%,18,70,18,41,48,57,Rectangle,Full,Plastic,0,0,0,84.0
5502,LA,LACOSTE OPTICAL,L2271,5418001,L2271/54/BLACK,AMER,54,BLACK,16.0,black,shiny,0.0,Optical,Lacoste,Premium,Lacoste_black_46074,2024-06-01,47,32,66.0,29.0,-2.13%,-9.38%,20,85,21,42,37,60,Rectangle,Full,Metal,1,0,0,104.0
5503,LS,LACOSTE SUNS,L6032S,5418001,L6032S/54/BLACK,AMER,54,BLACK,17.0,black,shiny,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-06-01,47,32,66.0,29.0,-2.13%,-9.38%,20,85,21,42,37,60,Rectangle,Full,Plastic,1,0,0,100.0
5508,LS,LACOSTE SUNS,L6032S,5418002,L6032S/54/MATTE BLAC,AMER,54,MATTE BLAC,0.0,black,matte,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,20.0
5509,LS,LACOSTE SUNS,L6032S,5418002,L6032S/54/MATTE BLAC,AMER,54,MATTE BLAC,0.0,black,matte,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,38.0
5510,LS,LACOSTE SUNS,L6032S,5418002,L6032S/54/MATTE BLAC,AMER,54,MATTE BLAC,0.0,black,matte,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,76.0
5511,LS,LACOSTE SUNS,L6032S,5418002,L6032S/54/MATTE BLAC,AMER,54,MATTE BLAC,0.0,black,matte,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,102.0
5512,LS,LACOSTE SUNS,L6032S,5418002,L6032S/54/MATTE BLAC,AMER,54,MATTE BLAC,20.0,black,matte,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,95.0
5513,LS,LACOSTE SUNS,L6032S,5418002,L6032S/54/MATTE BLAC,AMER,54,MATTE BLAC,18.0,black,matte,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,103.0
5514,LS,LACOSTE SUNS,L6032S,5418002,L6032S/54/MATTE BLAC,AMER,54,MATTE BLAC,38.0,black,matte,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,72.0
5515,LS,LACOSTE SUNS,L6032S,5418002,L6032S/54/MATTE BLAC,AMER,54,MATTE BLAC,26.0,black,matte,0.0,Sun,Lacoste,Premium,Lacoste_black_L6032S,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,50.0
5520,LA,LACOSTE OPTICAL,L2271,5418004,L2271/54/BLACK/GREY,AMER,54,BLACK/GREY,22.0,black,shiny,1.0,Optical,Lacoste,Premium,Lacoste_black_46074,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Metal,0,0,0,117.0
5521,LA,LACOSTE OPTICAL,L2271,5418004,L2271/54/BLACK/GREY,AMER,54,BLACK/GREY,46.0,black,shiny,1.0,Optical,Lacoste,Premium,Lacoste_black_46074,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Metal,0,0,0,92.0
5522,LA,LACOSTE OPTICAL,L2271,5418004,L2271/54/BLACK/GREY,AMER,54,BLACK/GREY,25.0,black,shiny,1.0,Optical,Lacoste,Premium,Lacoste_black_46074,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Metal,0,1,0,89.0
